Scientific Name,Scientific Name,Total Count per Species
Acanthochromis polyacanthus,Pomacentrus moluccensis,1.0
Chrysiptera rex,Pomacentrus adelus,7.0
Halichoeres marginatus,Stethojulis strigiventer,4.0
Halichoeres melanurus,Pomacentrus vaiuli,1.0
Plectroglyphidodon dickii,Plectroglyphidodon dickii,29.0
Plectroglyphidodon lacrymatus,Pomacentrus bankanensis,10.0
Pomacentrus adelus,Stegastes fasciolatus,19.0
Pomacentrus bankanensis,Chrysiptera rex,12.0
Pomacentrus coelestis,Pomacentrus coelestis,18.0
Pomacentrus moluccensis,Halichoeres marginatus,5.0
Pomacentrus vaiuli,Plectroglyphidodon lacrymatus,17.0
Stegastes fasciolatus,Thalassoma lunare,3.0
Stethojulis strigiventer,Halichoeres melanurus,2.0
Thalassoma lunare,Acanthochromis polyacanthus,1.0
Zanclus cornutus,Zanclus cornutus,1.0
